GEOID,GEO.display.label,pop,pop.white,pop.not.white,pct.white,pct.not.white
24510010100,"Census Tract 101, Baltimore city, Maryland",1378,1276,102,0.925979681,0.074020319
24510010200,"Census Tract 102, Baltimore city, Maryland",1262,1082,180,0.857369255,0.142630745
24510010300,"Census Tract 103, Baltimore city, Maryland",965,847,118,0.877720207,0.122279793
24510010400,"Census Tract 104, Baltimore city, Maryland",1196,1146,50,0.95819398,0.04180602
24510010500,"Census Tract 105, Baltimore city, Maryland",951,759,192,0.798107256,0.201892744
24510020100,"Census Tract 201, Baltimore city, Maryland",871,697,174,0.800229621,0.199770379
24510020200,"Census Tract 202, Baltimore city, Maryland",791,617,174,0.780025284,0.219974716
24510020300,"Census Tract 203, Baltimore city, Maryland",1646,1427,219,0.866950182,0.133049818
24510030100,"Census Tract 301, Baltimore city, Maryland",879,269,610,0.306029579,0.693970421
24510030200,"Census Tract 302, Baltimore city, Maryland",887,533,354,0.600901917,0.399098083
24510040100,"Census Tract 401, Baltimore city, Maryland",2046,1363,683,0.666177908,0.333822092
24510040200,"Census Tract 402, Baltimore city, Maryland",574,262,312,0.456445993,0.543554007
24510060100,"Census Tract 601, Baltimore city, Maryland",942,473,469,0.502123142,0.497876858
24510060200,"Census Tract 602, Baltimore city, Maryland",1045,562,483,0.537799043,0.462200957
24510060300,"Census Tract 603, Baltimore city, Maryland",679,276,403,0.406480118,0.593519882
24510060400,"Census Tract 604, Baltimore city, Maryland",621,116,505,0.186795491,0.813204509
24510070100,"Census Tract 701, Baltimore city, Maryland",779,23,756,0.029525032,0.970474968
24510070200,"Census Tract 702, Baltimore city, Maryland",1012,29,983,0.028656126,0.971343874
24510070300,"Census Tract 703, Baltimore city, Maryland",404,22,382,0.054455446,0.945544554
24510080101,"Census Tract 801.01, Baltimore city, Maryland",1240,404,836,0.325806452,0.674193548
24510080102,"Census Tract 801.02, Baltimore city, Maryland",633,32,601,0.050552923,0.949447077
24510080200,"Census Tract 802, Baltimore city, Maryland",526,29,497,0.05513308,0.94486692
24510080302,"Census Tract 803.02, Baltimore city, Maryland",1262,11,1251,0.008716323,0.991283677
24510080500,"Census Tract 805, Baltimore city, Maryland",589,10,579,0.016977929,0.983022071
24510080700,"Census Tract 807, Baltimore city, Maryland",345,9,336,0.026086957,0.973913043
24510080800,"Census Tract 808, Baltimore city, Maryland",398,47,351,0.118090452,0.881909548
24510090100,"Census Tract 901, Baltimore city, Maryland",1698,218,1480,0.128386337,0.871613663
24510090200,"Census Tract 902, Baltimore city, Maryland",1264,305,959,0.241297468,0.758702532
24510090300,"Census Tract 903, Baltimore city, Maryland",1712,430,1282,0.251168224,0.748831776
24510090400,"Census Tract 904, Baltimore city, Maryland",718,71,647,0.098885794,0.901114206
24510090500,"Census Tract 905, Baltimore city, Maryland",685,145,540,0.211678832,0.788321168
24510090600,"Census Tract 906, Baltimore city, Maryland",1007,12,995,0.011916584,0.988083416
24510090700,"Census Tract 907, Baltimore city, Maryland",1137,14,1123,0.012313105,0.987686895
24510090800,"Census Tract 908, Baltimore city, Maryland",1085,69,1016,0.06359447,0.93640553
24510100100,"Census Tract 1001, Baltimore city, Maryland",862,8,854,0.009280742,0.990719258
24510110100,"Census Tract 1101, Baltimore city, Maryland",2131,1224,907,0.574378226,0.425621774
24510110200,"Census Tract 1102, Baltimore city, Maryland",3109,1809,1300,0.581859119,0.418140881
24510120100,"Census Tract 1201, Baltimore city, Maryland",2462,1904,558,0.773354996,0.226645004
24510120201,"Census Tract 1202.01, Baltimore city, Maryland",930,766,164,0.823655914,0.176344086
24510120202,"Census Tract 1202.02, Baltimore city, Maryland",2217,1332,885,0.600811908,0.399188092
24510120300,"Census Tract 1203, Baltimore city, Maryland",1299,529,770,0.407236336,0.592763664
24510120400,"Census Tract 1204, Baltimore city, Maryland",436,87,349,0.199541284,0.800458716
