"GEOID","GEO.display.label","pop","pop.white","pop.not.white","pct.white","pct.not.white"
"45001950100","Census Tract 9501, Abbeville County, South Carolina",3171,2749,422,0.866918953011668,0.133081046988332
"45001950200","Census Tract 9502, Abbeville County, South Carolina",4213,3066,1147,0.72774744837408,0.27225255162592
"45001950300","Census Tract 9503, Abbeville County, South Carolina",3218,3028,190,0.940957116221255,0.0590428837787446
"45001950400","Census Tract 9504, Abbeville County, South Carolina",6169,4616,1553,0.748257416112822,0.251742583887178
"45001950500","Census Tract 9505, Abbeville County, South Carolina",5248,2541,2707,0.484184451219512,0.515815548780488
"45001950600","Census Tract 9506, Abbeville County, South Carolina",3214,1552,1662,0.482887367766024,0.517112632233976
"45003020100","Census Tract 201, Aiken County, South Carolina",4743,3360,1383,0.708412397216951,0.291587602783049
"45003020200","Census Tract 202, Aiken County, South Carolina",5728,4192,1536,0.731843575418994,0.268156424581006
"45003020301","Census Tract 203.01, Aiken County, South Carolina",2490,1743,747,0.7,0.3
"45003020302","Census Tract 203.02, Aiken County, South Carolina",5254,2637,2617,0.501903311762467,0.498096688237533
"45003020400","Census Tract 204, Aiken County, South Carolina",6012,4306,1706,0.716234198270126,0.283765801729874
"45003020500","Census Tract 205, Aiken County, South Carolina",7271,5966,1305,0.820519873469949,0.179480126530051
"45003020601","Census Tract 206.01, Aiken County, South Carolina",3631,2603,1028,0.716882401542275,0.283117598457725
"45003020602","Census Tract 206.02, Aiken County, South Carolina",6982,3674,3308,0.526210254941278,0.473789745058722
"45003020701","Census Tract 207.01, Aiken County, South Carolina",6004,4435,1569,0.738674217188541,0.261325782811459
"45003020702","Census Tract 207.02, Aiken County, South Carolina",4296,2072,2224,0.482309124767225,0.517690875232775
"45003020801","Census Tract 208.01, Aiken County, South Carolina",2712,2588,124,0.954277286135693,0.0457227138643068
"45003020802","Census Tract 208.02, Aiken County, South Carolina",5249,3888,1361,0.740712516669842,0.259287483330158
"45003020901","Census Tract 209.01, Aiken County, South Carolina",2561,1727,834,0.674345958609918,0.325654041390082
"45003020902","Census Tract 209.02, Aiken County, South Carolina",6241,4391,1850,0.703573145329274,0.296426854670726
"45003021001","Census Tract 210.01, Aiken County, South Carolina",4962,3508,1454,0.706972994760177,0.293027005239823
"45003021002","Census Tract 210.02, Aiken County, South Carolina",6085,4895,1190,0.804437140509449,0.195562859490551
"45003021101","Census Tract 211.01, Aiken County, South Carolina",2685,2303,382,0.857728119180633,0.142271880819367
"45003021102","Census Tract 211.02, Aiken County, South Carolina",3783,3146,637,0.831615120274914,0.168384879725086
"45003021201","Census Tract 212.01, Aiken County, South Carolina",5563,5026,537,0.903469351069567,0.0965306489304332
"45003021202","Census Tract 212.02, Aiken County, South Carolina",3779,3416,363,0.903942842021699,0.0960571579783012
"45003021203","Census Tract 212.03, Aiken County, South Carolina",8190,7047,1143,0.86043956043956,0.13956043956044
"45003021300","Census Tract 213, Aiken County, South Carolina",5316,3999,1317,0.752257336343115,0.247742663656885
"45003021400","Census Tract 214, Aiken County, South Carolina",5713,821,4892,0.143707334150184,0.856292665849816
"45003021500","Census Tract 215, Aiken County, South Carolina",4923,3535,1388,0.718058094657729,0.281941905342271
"45003021601","Census Tract 216.01, Aiken County, South Carolina",6170,2460,3710,0.39870340356564,0.60129659643436
"45003021602","Census Tract 216.02, Aiken County, South Carolina",8151,6048,2103,0.741994847258005,0.258005152741995
"45003021700","Census Tract 217, Aiken County, South Carolina",4107,2584,1523,0.629169710250791,0.370830289749209
"45003021800","Census Tract 218, Aiken County, South Carolina",2553,1272,1281,0.498237367802585,0.501762632197415
"45003021900","Census Tract 219, Aiken County, South Carolina",6418,4424,1994,0.689311311935182,0.310688688064818
"45003022001","Census Tract 220.01, Aiken County, South Carolina",4243,2970,1273,0.699976431769974,0.300023568230026
"45003022002","Census Tract 220.02, Aiken County, South Carolina",6648,4971,1677,0.747743682310469,0.252256317689531
"45003022100","Census Tract 221, Aiken County, South Carolina",3247,2429,818,0.748075146288882,0.251924853711118
"45005970200","Census Tract 9702, Allendale County, South Carolina",5206,943,4263,0.18113714944295,0.81886285055705
"45005970300","Census Tract 9703, Allendale County, South Carolina",1114,705,409,0.632854578096948,0.367145421903052
"45005970400","Census Tract 9704, Allendale County, South Carolina",3894,819,3075,0.210323574730354,0.789676425269646
"45007000200","Census Tract 2, Anderson County, South Carolina",4564,3711,853,0.813102541630149,0.186897458369851
"45007000300","Census Tract 3, Anderson County, South Carolina",5202,3704,1498,0.7120338331411,0.2879661668589
"45007000500","Census Tract 5, Anderson County, South Carolina",3273,1026,2247,0.313473877176902,0.686526122823098
"45007000600","Census Tract 6, Anderson County, South Carolina",3213,906,2307,0.281979458450047,0.718020541549953
"45007000700","Census Tract 7, Anderson County, South Carolina",4453,1647,2806,0.36986301369863,0.63013698630137
"45007000800","Census Tract 8, Anderson County, South Carolina",2299,1516,783,0.659417137886037,0.340582862113963
"45007000900","Census Tract 9, Anderson County, South Carolina",2926,1883,1043,0.643540669856459,0.356459330143541
"45007001000","Census Tract 10, Anderson County, South Carolina",2858,2119,739,0.741427571728482,0.258572428271518
"45007001100","Census Tract 11, Anderson County, South Carolina",4998,3986,1012,0.797519007603041,0.202480992396959
"45007010102","Census Tract 101.02, Anderson County, South Carolina",6509,6246,263,0.959594407743125,0.0404055922568751
"45007010103","Census Tract 101.03, Anderson County, South Carolina",7064,6441,623,0.911806342015855,0.0881936579841449
"45007010104","Census Tract 101.04, Anderson County, South Carolina",8015,7562,453,0.943480973175296,0.0565190268247037
"45007010200","Census Tract 102, Anderson County, South Carolina",4847,4728,119,0.975448731173922,0.0245512688260779
"45007010300","Census Tract 103, Anderson County, South Carolina",4165,3798,367,0.911884753901561,0.0881152460984393
"45007010401","Census Tract 104.01, Anderson County, South Carolina",6128,5356,772,0.87402088772846,0.12597911227154
"45007010402","Census Tract 104.02, Anderson County, South Carolina",5753,5349,404,0.929775769163914,0.0702242308360855
"45007010500","Census Tract 105, Anderson County, South Carolina",6338,5371,967,0.847428210792048,0.152571789207952
"45007010600","Census Tract 106, Anderson County, South Carolina",7301,6594,707,0.903163950143816,0.0968360498561841
"45007010700","Census Tract 107, Anderson County, South Carolina",5254,4055,1199,0.771792919680244,0.228207080319756
"45007010800","Census Tract 108, Anderson County, South Carolina",4910,4434,476,0.903054989816701,0.0969450101832994
"45007010900","Census Tract 109, Anderson County, South Carolina",4276,4013,263,0.938493919550982,0.0615060804490177
"45007011001","Census Tract 110.01, Anderson County, South Carolina",4657,4432,225,0.951685634528667,0.0483143654713335
"45007011002","Census Tract 110.02, Anderson County, South Carolina",4096,3576,520,0.873046875,0.126953125
"45007011100","Census Tract 111, Anderson County, South Carolina",2749,2129,620,0.774463441251364,0.225536558748636
"45007011201","Census Tract 112.01, Anderson County, South Carolina",3846,3252,594,0.845553822152886,0.154446177847114
"45007011202","Census Tract 112.02, Anderson County, South Carolina",7715,6858,857,0.888917692806222,0.111082307193778
"45007011300","Census Tract 113, Anderson County, South Carolina",7527,6079,1448,0.80762588016474,0.19237411983526
"45007011401","Census Tract 114.01, Anderson County, South Carolina",4145,3046,1099,0.734861278648975,0.265138721351025
"45007011402","Census Tract 114.02, Anderson County, South Carolina",3130,2572,558,0.821725239616613,0.178274760383387
"45007011500","Census Tract 115, Anderson County, South Carolina",6555,5571,984,0.849885583524027,0.150114416475973
"45007011600","Census Tract 116, Anderson County, South Carolina",2054,1899,155,0.924537487828627,0.0754625121713729
"45007011700","Census Tract 117, Anderson County, South Carolina",5932,4986,946,0.840525960890088,0.159474039109912
"45007011800","Census Tract 118, Anderson County, South Carolina",3932,3414,518,0.868260427263479,0.131739572736521
"45007011901","Census Tract 119.01, Anderson County, South Carolina",5252,3348,1904,0.637471439451637,0.362528560548363
"45007011902","Census Tract 119.02, Anderson County, South Carolina",2885,1574,1311,0.545580589254766,0.454419410745234
