"GEOID","GEO.display.label","pop","pop.white","pop.not.white","pct.white","pct.not.white"
"08001007802",8001007802,3758,1484,2274,0.394890899414582,0.605109100585418
"08001008000",8001008000,5742,2873,2869,0.500348310693138,0.499651689306862
"08001008100",8001008100,854,543,311,0.635831381733021,0.364168618266979
"08001008200",8001008200,5484,2964,2520,0.540481400437637,0.459518599562363
"08001008309",8001008309,3254,1937,1317,0.595267363245237,0.404732636754763
"08001008505",8001008505,6655,5281,1374,0.793538692712246,0.206461307287754
"08001008506",8001008506,5383,3848,1535,0.714843024335872,0.285156975664128
"08001008507",8001008507,6099,4904,1195,0.804066240367273,0.195933759632727
"08001008523",8001008523,7586,6458,1128,0.85130503559188,0.14869496440812
"08001008524",8001008524,7814,6620,1194,0.847197338111083,0.152802661888917
"08001008526",8001008526,6742,5840,902,0.866211806585583,0.133788193414417
"08001008529",8001008529,7446,5952,1494,0.799355358581789,0.200644641418211
"08001008533",8001008533,7650,5908,1742,0.772287581699346,0.227712418300654
"08001008534",8001008534,4283,3488,795,0.814382442213402,0.185617557786598
"08001008536",8001008536,2443,1972,471,0.807204257060991,0.192795742939009
"08001008537",8001008537,6047,4827,1220,0.798247064660162,0.201752935339838
"08001008539",8001008539,8437,6191,2246,0.733791632096717,0.266208367903283
"08001008540",8001008540,6408,5136,1272,0.801498127340824,0.198501872659176
"08001008541",8001008541,4277,3871,406,0.905073649754501,0.0949263502454992
"08001008542",8001008542,7036,5885,1151,0.836412734508243,0.163587265491757
"08001008543",8001008543,6935,5696,1239,0.821341023792358,0.178658976207642
"08001008544",8001008544,4181,3381,800,0.808658215737862,0.191341784262138
"08001008545",8001008545,6769,5898,871,0.871325158812232,0.128674841187768
"08001008546",8001008546,2912,2408,504,0.826923076923077,0.173076923076923
"08001008548",8001008548,1499,1215,284,0.81054036024016,0.18945963975984
"08001008549",8001008549,3906,3195,711,0.817972350230415,0.182027649769585
"08001008550",8001008550,7987,6550,1437,0.820082634280706,0.179917365719294
"08001008551",8001008551,571,512,59,0.896672504378284,0.103327495621716
"08001008603",8001008603,2055,1410,645,0.686131386861314,0.313868613138686
"08001008604",8001008604,4923,3474,1449,0.705667276051188,0.294332723948812
"08001008605",8001008605,3679,2797,882,0.760260940472955,0.239739059527045
"08001008606",8001008606,5931,4318,1613,0.728039116506491,0.271960883493509
"08001008705",8001008705,4921,2905,2016,0.590327169274538,0.409672830725462
"08001008706",8001008706,5436,3171,2265,0.583333333333333,0.416666666666667
"08001008709",8001008709,7656,4469,3187,0.583725182863114,0.416274817136886
"08001008801",8001008801,4752,3179,1573,0.668981481481482,0.331018518518518
"08001008802",8001008802,4075,2574,1501,0.631656441717791,0.368343558282209
"08001009001",8001009001,4645,2979,1666,0.641334768568353,0.358665231431647
"08001009101",8001009101,4112,2939,1173,0.714737354085603,0.285262645914397
"08001009103",8001009103,3462,2388,1074,0.689774696707106,0.310225303292894
"08001009104",8001009104,5200,3600,1600,0.692307692307692,0.307692307692308
"08001009202",8001009202,4242,3277,965,0.772512965582273,0.227487034417727
"08001009203",8001009203,4222,2697,1525,0.63879677877783,0.36120322122217
