"GEOID","GEO.display.label","pop","pop.white","pop.not.white","pct.white","pct.not.white"
"47001020100","Census Tract 201, Anderson County, Tennessee",3530,2106,1424,0.596600566572238,0.403399433427762
"47001020201","Census Tract 202.01, Anderson County, Tennessee",3642,2885,757,0.79214717188358,0.20785282811642
"47001020202","Census Tract 202.02, Anderson County, Tennessee",4254,3699,555,0.869534555712271,0.130465444287729
"47001020300","Census Tract 203, Anderson County, Tennessee",3985,3417,568,0.857465495608532,0.142534504391468
"47001020400","Census Tract 204, Anderson County, Tennessee",4476,4062,414,0.907506702412869,0.0924932975871313
"47001020500","Census Tract 205, Anderson County, Tennessee",3218,2875,343,0.893412057178372,0.106587942821628
"47001020600","Census Tract 206, Anderson County, Tennessee",2582,2317,265,0.897366382649109,0.102633617350891
"47001020700","Census Tract 207, Anderson County, Tennessee",1714,1667,47,0.972578763127188,0.0274212368728122
"47001020800","Census Tract 208, Anderson County, Tennessee",5043,5005,38,0.992464802696807,0.00753519730319252
"47001020901","Census Tract 209.01, Anderson County, Tennessee",5495,5473,22,0.995996360327571,0.00400363967242945
"47001020902","Census Tract 209.02, Anderson County, Tennessee",5796,5635,161,0.972222222222222,0.0277777777777778
"47001021000","Census Tract 210, Anderson County, Tennessee",5935,5835,100,0.983150800336984,0.016849199663016
"47001021100","Census Tract 211, Anderson County, Tennessee",3966,3637,329,0.917044881492688,0.0829551185073122
"47001021201","Census Tract 212.01, Anderson County, Tennessee",5072,4750,322,0.936514195583596,0.0634858044164038
"47001021202","Census Tract 212.02, Anderson County, Tennessee",4912,4865,47,0.990431596091205,0.00956840390879476
"47001021301","Census Tract 213.01, Anderson County, Tennessee",3528,3467,61,0.982709750566893,0.0172902494331065
"47001021302","Census Tract 213.02, Anderson County, Tennessee",7109,7100,9,0.998733999155999,0.00126600084400053
"47003950100","Census Tract 9501, Bedford County, Tennessee",3830,3560,270,0.929503916449086,0.0704960835509139
"47003950200","Census Tract 9502, Bedford County, Tennessee",6968,6670,298,0.957233065442021,0.0427669345579793
"47003950300","Census Tract 9503, Bedford County, Tennessee",3583,3550,33,0.990789840915434,0.00921015908456602
"47003950401","Census Tract 9504.01, Bedford County, Tennessee",5119,4126,993,0.806016800156281,0.193983199843719
"47003950402","Census Tract 9504.02, Bedford County, Tennessee",6110,4408,1702,0.721440261865794,0.278559738134206
"47003950500","Census Tract 9505, Bedford County, Tennessee",6512,4771,1741,0.73264742014742,0.26735257985258
"47003950600","Census Tract 9506, Bedford County, Tennessee",6677,4846,1831,0.725775048674554,0.274224951325446
"47003950700","Census Tract 9507, Bedford County, Tennessee",2411,2376,35,0.985483201990875,0.0145167980091249
"47003950800","Census Tract 9508, Bedford County, Tennessee",2962,2782,180,0.939230249831195,0.0607697501688048
"47005963000","Census Tract 9630, Benton County, Tennessee",3650,3566,84,0.976986301369863,0.023013698630137
"47005963100","Census Tract 9631, Benton County, Tennessee",2982,2971,11,0.996311200536553,0.00368879946344736
"47005963200","Census Tract 9632, Benton County, Tennessee",2155,2100,55,0.974477958236659,0.0255220417633411
"47005963300","Census Tract 9633, Benton County, Tennessee",3683,3327,356,0.903339668748303,0.096660331251697
"47005963400","Census Tract 9634, Benton County, Tennessee",3986,3849,137,0.965629703963874,0.0343702960361264
"47007953000","Census Tract 9530, Bledsoe County, Tennessee",3149,3009,140,0.955541441727533,0.0444585582724675
"47007953100","Census Tract 9531, Bledsoe County, Tennessee",5230,5055,175,0.966539196940727,0.0334608030592735
"47007953200","Census Tract 9532, Bledsoe County, Tennessee",4567,3995,572,0.874753667615503,0.125246332384497
"47009010100","Census Tract 101, Blount County, Tennessee",2868,1440,1428,0.502092050209205,0.497907949790795
"47009010200","Census Tract 102, Blount County, Tennessee",4698,4358,340,0.927628778203491,0.0723712217965091
"47009010301","Census Tract 103.01, Blount County, Tennessee",5759,4537,1222,0.787810383747178,0.212189616252822
"47009010302","Census Tract 103.02, Blount County, Tennessee",3418,3204,214,0.937390286717379,0.0626097132826214
"47009010400","Census Tract 104, Blount County, Tennessee",3353,3154,199,0.94065016403221,0.0593498359677901
"47009010500","Census Tract 105, Blount County, Tennessee",2677,2166,511,0.809114680612626,0.190885319387374
"47009010600","Census Tract 106, Blount County, Tennessee",4362,3957,405,0.907152682255846,0.0928473177441541
"47009010700","Census Tract 107, Blount County, Tennessee",4799,4036,763,0.841008543446551,0.158991456553449
"47009010800","Census Tract 108, Blount County, Tennessee",3241,2770,471,0.854674483184202,0.145325516815798
"47009010900","Census Tract 109, Blount County, Tennessee",5785,5470,315,0.945548833189283,0.0544511668107174
"47009011001","Census Tract 110.01, Blount County, Tennessee",5154,4886,268,0.948001552192472,0.0519984478075282
"47009011002","Census Tract 110.02, Blount County, Tennessee",3832,3808,24,0.993736951983299,0.00626304801670141
"47009011101","Census Tract 111.01, Blount County, Tennessee",4993,4792,201,0.959743641097537,0.0402563589024635
"47009011102","Census Tract 111.02, Blount County, Tennessee",8502,8255,247,0.970948012232416,0.0290519877675841
"47009011200","Census Tract 112, Blount County, Tennessee",7135,6430,705,0.901191310441486,0.0988086895585144
"47009011301","Census Tract 113.01, Blount County, Tennessee",5879,5639,240,0.95917673073652,0.0408232692634802
"47009011302","Census Tract 113.02, Blount County, Tennessee",5132,5107,25,0.995128604832424,0.00487139516757595
"47009011401","Census Tract 114.01, Blount County, Tennessee",1883,1852,31,0.983536909187467,0.0164630908125332
"47009011402","Census Tract 114.02, Blount County, Tennessee",3924,3893,31,0.992099898063201,0.00790010193679913
"47009011501","Census Tract 115.01, Blount County, Tennessee",1956,1923,33,0.983128834355828,0.0168711656441718
"47009011502","Census Tract 115.02, Blount County, Tennessee",4468,4392,76,0.982990152193375,0.0170098478066248
"47009011503","Census Tract 115.03, Blount County, Tennessee",6906,6799,107,0.984506226469737,0.0154937735302635
"47009011602","Census Tract 116.02, Blount County, Tennessee",8781,8583,198,0.977451315339938,0.0225486846600615
"47009011603","Census Tract 116.03, Blount County, Tennessee",4830,4769,61,0.987370600414079,0.0126293995859214
"47009011604","Census Tract 116.04, Blount County, Tennessee",3355,3024,331,0.901341281669151,0.0986587183308495
"47009011605","Census Tract 116.05, Blount County, Tennessee",3393,3322,71,0.979074565281462,0.0209254347185381
"47009980100","Census Tract 9801, Blount County, Tennessee",24,24,0,1,0
"47009980200","Census Tract 9802, Blount County, Tennessee",33,33,0,1,0
"47011010100","Census Tract 101, Bradley County, Tennessee",4821,4251,570,0.881767268201618,0.118232731798382
"47011010200","Census Tract 102, Bradley County, Tennessee",4754,4367,387,0.918594867480017,0.0814051325199832
"47011010300","Census Tract 103, Bradley County, Tennessee",2631,2397,234,0.911060433295325,0.0889395667046751
"47011010400","Census Tract 104, Bradley County, Tennessee",2433,1727,706,0.709823263460748,0.290176736539252
"47011010500","Census Tract 105, Bradley County, Tennessee",3429,3092,337,0.901720618256051,0.0982793817439487
"47011010600","Census Tract 106, Bradley County, Tennessee",3034,2629,405,0.866512854317732,0.133487145682268
