"GEOID","GEO.display.label","pop","pop.white","pop.not.white","pct.white","pct.not.white"
40017300201,40017300201,5263,4751,512,0.902717081512445,0.0972829184875547
40017300202,40017300202,4308,3506,802,0.813834726090993,0.186165273909007
40017300300,40017300300,3381,2394,987,0.708074534161491,0.291925465838509
40017300400,40017300400,1127,540,587,0.479148181011535,0.520851818988465
40017300600,40017300600,3201,2607,594,0.814432989690722,0.185567010309278
40017300700,40017300700,6173,4643,1530,0.752146444192451,0.247853555807549
40017300801,40017300801,8021,6963,1058,0.868096247350704,0.131903752649296
40017300901,40017300901,5914,4986,928,0.84308420696652,0.15691579303348
40017300904,40017300904,3643,2951,692,0.810046664836673,0.189953335163327
40017300905,40017300905,4436,3732,704,0.841298467087466,0.158701532912534
40017301003,40017301003,5932,4966,966,0.837154416722859,0.162845583277141
40017301006,40017301006,3210,2461,749,0.766666666666667,0.233333333333333
40017301007,40017301007,5285,3919,1366,0.741532639545885,0.258467360454115
40017301008,40017301008,5942,4210,1732,0.70851565129586,0.29148434870414
40017301100,40017301100,5949,5222,727,0.877794587325601,0.122205412674399
40017301201,40017301201,4042,3550,492,0.878278080158337,0.121721919841663
40017301202,40017301202,2519,2289,230,0.908693926161175,0.0913060738388249
40017301300,40017301300,4483,3947,536,0.880437207227303,0.119562792772697
40017301406,40017301406,4898,4391,507,0.896488362596978,0.103511637403022
40017301407,40017301407,5103,4522,581,0.886145404663923,0.113854595336077
40017301408,40017301408,1921,1742,179,0.906819364914107,0.0931806350858928
40017301409,40017301409,2815,2440,375,0.866785079928952,0.133214920071048
40017301410,40017301410,4579,4018,561,0.877484166848657,0.122515833151343
40027200100,40027200100,578,458,120,0.792387543252595,0.207612456747405
40027200200,40027200200,1786,1435,351,0.803471444568869,0.196528555431131
40027200300,40027200300,3586,2734,852,0.762409369771333,0.237590630228667
40027200400,40027200400,1922,1535,387,0.798647242455775,0.201352757544225
40027200500,40027200500,3797,3237,560,0.852515143534369,0.147484856465631
40027200601,40027200601,6203,4333,1870,0.698532967918749,0.301467032081251
40027200602,40027200602,3448,2699,749,0.782772621809745,0.217227378190255
40027200700,40027200700,272,205,67,0.753676470588235,0.246323529411765
40027200800,40027200800,6574,5158,1416,0.784606023729845,0.215393976270155
40027200900,40027200900,3946,3250,696,0.823618854536239,0.176381145463761
40027201000,40027201000,5774,4507,1267,0.78056806373398,0.21943193626602
40027201102,40027201102,2783,2300,483,0.826446280991736,0.173553719008264
40027201201,40027201201,2121,1488,633,0.701555869872702,0.298444130127298
40027201202,40027201202,4771,3953,818,0.828547474324041,0.171452525675959
40027201203,40027201203,5396,3673,1723,0.680689399555226,0.319310600444774
40027201301,40027201301,7499,5554,1945,0.740632084277904,0.259367915722096
40027201404,40027201404,2328,1854,474,0.79639175257732,0.20360824742268
40027201505,40027201505,5522,4725,797,0.855668236146324,0.144331763853676
40027201507,40027201507,6318,5216,1102,0.825577714466603,0.174422285533397
40027201508,40027201508,3028,2460,568,0.812417437252312,0.187582562747688
40027201509,40027201509,2364,1951,413,0.825296108291032,0.174703891708968
40027201510,40027201510,6640,5512,1128,0.830120481927711,0.169879518072289
40027201602,40027201602,2713,2236,477,0.824179874677479,0.175820125322521
40027201603,40027201603,3895,3029,866,0.777663671373556,0.222336328626444
40027201604,40027201604,3671,2875,796,0.783165350040861,0.216834649959139
40027201607,40027201607,5181,4037,1144,0.779193205944798,0.220806794055202
40027201609,40027201609,4070,3045,1025,0.748157248157248,0.251842751842752
40027201610,40027201610,3708,2875,833,0.775350593311758,0.224649406688242
40027201612,40027201612,5074,4069,1005,0.801931415057154,0.198068584942846
40027201801,40027201801,4143,3195,948,0.771180304127444,0.228819695872556
40027201802,40027201802,3435,2840,595,0.826783114992722,0.173216885007278
40027201902,40027201902,4230,3190,1040,0.754137115839243,0.245862884160757
40027201903,40027201903,2926,1942,984,0.663704716336295,0.336295283663705
40027201904,40027201904,4598,3261,1337,0.70922140060896,0.29077859939104
40027202002,40027202002,4244,3375,869,0.795240339302545,0.204759660697455
40027202004,40027202004,3588,2891,697,0.805741360089186,0.194258639910814
40027202006,40027202006,2854,1963,891,0.687806587245971,0.312193412754029
40027202007,40027202007,3607,2595,1012,0.719434433046853,0.280565566953147
40027202008,40027202008,3825,3000,825,0.784313725490196,0.215686274509804
40027202102,40027202102,2454,2054,400,0.837000814995925,0.162999185004075
40027202106,40027202106,6183,4962,1221,0.802523047064532,0.197476952935468
40027202107,40027202107,2264,1772,492,0.782685512367491,0.217314487632509
40027202201,40027202201,3192,2629,563,0.823621553884712,0.176378446115288
40027202203,40027202203,3713,2953,760,0.795313762456235,0.204686237543765
40027202205,40027202205,6445,5089,1356,0.789604344453064,0.210395655546936
40027202206,40027202206,2819,2245,574,0.796381695636751,0.203618304363249
40027202302,40027202302,5986,5105,881,0.85282325425994,0.14717674574006
40027202402,40027202402,6212,5184,1028,0.834513844172569,0.165486155827431
40027202403,40027202403,5259,4615,644,0.877543259174748,0.122456740825252
40027202404,40027202404,4397,3835,562,0.872185581078008,0.127814418921992
40027202405,40027202405,7006,5230,1776,0.746502997430774,0.253497002569226
40027202500,40027202500,6720,5760,960,0.857142857142857,0.142857142857143
40027202600,40027202600,2670,2196,474,0.82247191011236,0.17752808988764
40051000100,40051000100,1275,1019,256,0.79921568627451,0.20078431372549
40051000400,40051000400,3277,2687,590,0.819957277998169,0.180042722001831
40051000500,40051000500,6509,5475,1034,0.841143032723921,0.158856967276079
40051000600,40051000600,5369,4637,732,0.863661761966847,0.136338238033153
40051000700,40051000700,7465,6510,955,0.872069658405894,0.127930341594106
40051000903,40051000903,9327,8314,1013,0.89139058646939,0.10860941353061
40051001000,40051001000,3945,2800,1145,0.709759188846641,0.290240811153359
40073958400,40073958400,2690,2434,256,0.904832713754647,0.0951672862453532
40081961300,40081961300,4319,3795,524,0.878675619356333,0.121324380643667
40081961400,40081961400,7782,6671,1111,0.857234644050373,0.142765355949627
