"GEOID","GEO.display.label","pop","pop.white","pop.not.white","pct.white","pct.not.white"
29071800100,29071800100,8584,8340,244,0.971575023299161,0.0284249767008388
29071800202,29071800202,5564,5437,127,0.977174694464414,0.0228253055355859
29071800601,29071800601,6903,6623,280,0.95943792553962,0.0405620744603795
29071800602,29071800602,8402,8117,285,0.966079504879791,0.0339204951202094
29071800702,29071800702,3083,2927,156,0.949399935128122,0.0506000648718781
29071800901,29071800901,3122,3033,89,0.97149263292761,0.0285073670723895
29071800902,29071800902,6727,6518,209,0.968931172885387,0.0310688271146128
29071801000,29071801000,3758,3675,83,0.977913783927621,0.0220862160723789
29099700107,29099700107,2836,2761,75,0.973554301833568,0.0264456981664316
29099700109,29099700109,12720,12311,409,0.967845911949686,0.0321540880503145
29099700110,29099700110,8013,7717,296,0.963060027455385,0.036939972544615
29099700111,29099700111,3938,3788,150,0.961909598781107,0.0380904012188928
29099700113,29099700113,3579,3469,110,0.969265157865326,0.0307348421346745
29099700114,29099700114,4485,4330,155,0.965440356744705,0.0345596432552955
29099700115,29099700115,4333,4214,119,0.972536348949919,0.0274636510500808
29099700116,29099700116,3125,3019,106,0.96608,0.03392
29099700203,29099700203,6005,5660,345,0.942547876769359,0.0574521232306411
29099700206,29099700206,5312,5111,201,0.962161144578313,0.0378388554216867
29099700207,29099700207,3659,3527,132,0.963924569554523,0.0360754304454769
29099700208,29099700208,5818,5589,229,0.960639394981093,0.0393606050189068
29099700210,29099700210,3923,3744,179,0.954371654346164,0.0456283456538363
29099700211,29099700211,5259,5021,238,0.954744247955885,0.0452557520441148
29099700304,29099700304,7149,6921,228,0.968107427612253,0.0318925723877466
29099700401,29099700401,4746,4632,114,0.975979772439949,0.0240202275600506
29099700502,29099700502,5812,5645,167,0.971266345492085,0.0287336545079147
29099700503,29099700503,3416,3358,58,0.983021077283372,0.0169789227166276
29099700504,29099700504,4393,4285,108,0.975415433644434,0.0245845663555657
29099700601,29099700601,5510,5286,224,0.95934664246824,0.0406533575317605
29099700603,29099700603,6060,5921,139,0.977062706270627,0.0229372937293729
29099700604,29099700604,5964,5844,120,0.979879275653924,0.0201207243460765
29099700605,29099700605,6149,5957,192,0.968775410635876,0.0312245893641242
29099700700,29099700700,4736,4405,331,0.930109797297297,0.0698902027027027
29099700802,29099700802,4371,4157,214,0.951040951727294,0.0489590482727065
29099701000,29099701000,8574,8339,235,0.972591555866573,0.0274084441334267
29099701102,29099701102,5792,5668,124,0.978591160220994,0.0214088397790055
29099701200,29099701200,5856,5662,194,0.966871584699454,0.0331284153005464
29099701401,29099701401,3918,3841,77,0.980347115875447,0.0196528841245533
29099701403,29099701403,3920,3817,103,0.973724489795918,0.0262755102040816
29099701404,29099701404,5949,5775,174,0.970751386787695,0.0292486132123045
29113810100,29113810100,4269,3992,277,0.935113609744671,0.0648863902553292
29113810201,29113810201,6535,6226,309,0.952716143840857,0.0472838561591431
29113810202,29113810202,5805,5671,134,0.976916451335056,0.023083548664944
29113810301,29113810301,9138,8400,738,0.919238345370978,0.0807616546290216
29113810303,29113810303,8180,7748,432,0.94718826405868,0.0528117359413203
29113810304,29113810304,10149,9628,521,0.948664893092916,0.0513351069070844
29113810400,29113810400,8490,8273,217,0.974440518256773,0.0255594817432273
29183310100,29183310100,2342,2285,57,0.975661827497865,0.0243381725021349
29183310201,29183310201,2679,2473,206,0.923105636431504,0.0768943635684957
29183310202,29183310202,3747,3429,318,0.915132105684548,0.0848678943154524
29183310301,29183310301,4142,3951,191,0.953887011105746,0.046112988894254
29183310302,29183310302,3666,3233,433,0.881887615930169,0.118112384069831
29183310501,29183310501,6750,5443,1307,0.80637037037037,0.19362962962963
29183310602,29183310602,5787,5462,325,0.9438396405737,0.0561603594263004
29183310700,29183310700,5261,4570,691,0.868656149021099,0.131343850978901
29183310801,29183310801,2187,1937,250,0.885688157293096,0.114311842706904
29183310802,29183310802,5775,5183,592,0.897489177489177,0.102510822510823
29183310902,29183310902,5144,4541,603,0.882776049766719,0.117223950233281
29183310903,29183310903,4086,3670,416,0.898188937836515,0.101811062163485
29183311001,29183311001,4049,3442,607,0.850086441096567,0.149913558903433
29183311004,29183311004,5144,4161,983,0.808903576982893,0.191096423017107
29183311103,29183311103,6622,6286,336,0.949260042283298,0.0507399577167019
29183311122,29183311122,6773,5751,1022,0.8491067473793,0.1508932526207
29183311124,29183311124,6581,5981,600,0.908828445524996,0.0911715544750038
29183311132,29183311132,3447,3255,192,0.944299390774587,0.0557006092254134
29183311146,29183311146,4416,3893,523,0.881567028985507,0.118432971014493
29183311147,29183311147,4039,3720,319,0.921020054468928,0.078979945531072
29183311148,29183311148,4517,4244,273,0.939561655966349,0.0604383440336507
29183311149,29183311149,3737,3418,319,0.914637409686915,0.0853625903130854
29183311150,29183311150,4749,4348,401,0.915561170772794,0.0844388292272057
29183311151,29183311151,5722,4890,832,0.854596295001748,0.145403704998252
29183311152,29183311152,4753,4435,318,0.933094887439512,0.0669051125604881
29183311154,29183311154,4970,4546,424,0.914688128772636,0.0853118712273642
29183311203,29183311203,6135,5597,538,0.912306438467808,0.0876935615321923
29183311211,29183311211,4386,3880,506,0.884632922936617,0.115367077063383
29183311212,29183311212,3625,3159,466,0.871448275862069,0.128551724137931
29183311221,29183311221,3683,3401,282,0.923431984795004,0.0765680152049959
29183311294,29183311294,3980,3726,254,0.936180904522613,0.063819095477387
29183311296,29183311296,4239,3971,268,0.936777541873083,0.0632224581269167
29183311311,29183311311,5156,4748,408,0.920868890612878,0.0791311093871218
29183311312,29183311312,5724,5270,454,0.920684835779175,0.0793151642208246
29183311322,29183311322,5786,5304,482,0.916695471828552,0.0833045281714483
29183311391,29183311391,4786,4384,402,0.916005014625992,0.0839949853740075
29183311422,29183311422,5653,5221,432,0.923580399787723,0.0764196002122767
29183311500,29183311500,1905,1758,147,0.922834645669291,0.0771653543307087
29183311602,29183311602,5259,4835,424,0.919376307282753,0.0806236927172467
29183311712,29183311712,4603,4079,524,0.886161199217901,0.113838800782099
29183311721,29183311721,3818,3394,424,0.888947092718701,0.111052907281299
29183311722,29183311722,7439,6746,693,0.906842317515795,0.0931576824842049
29183311732,29183311732,7277,6643,634,0.912876185241171,0.0871238147588292
29183311733,29183311733,2480,2268,212,0.914516129032258,0.0854838709677419
29183311734,29183311734,3693,3334,359,0.902789060384511,0.0972109396154888
29183311735,29183311735,6052,5494,558,0.907799074686054,0.0922009253139459
29183311736,29183311736,6379,5748,631,0.901081674243612,0.0989183257563881
29183311801,29183311801,4822,4504,318,0.934052260472833,0.0659477395271671
29183311802,29183311802,6143,5698,445,0.927559824190135,0.0724401758098648
29183311903,29183311903,5882,5387,495,0.915844950697042,0.0841550493029581
29183311904,29183311904,6016,5312,704,0.882978723404255,0.117021276595745
29183311908,29183311908,2831,2623,208,0.926527728717768,0.0734722712822324
29183311909,29183311909,5022,4774,248,0.950617283950617,0.0493827160493827
29183312001,29183312001,2312,2271,41,0.982266435986159,0.0177335640138409
29183312094,29183312094,4372,3702,670,0.846752058554437,0.153247941445563
29183312095,29183312095,3542,3172,370,0.89553924336533,0.10446075663467
29183312096,29183312096,6241,5675,566,0.909309405543983,0.0906905944560167
29183312097,29183312097,6639,6211,428,0.935532459707787,0.0644675402922127
29183312192,29183312192,3376,3149,227,0.932760663507109,0.067239336492891
29183312193,29183312193,6211,5754,457,0.92642086620512,0.07357913379488
29183312195,29183312195,3300,2903,397,0.87969696969697,0.12030303030303
29183312205,29183312205,6338,5610,728,0.885137267276743,0.114862732723257
29183312300,29183312300,2892,2764,128,0.955739972337483,0.0442600276625172
29183312400,29183312400,5016,4685,331,0.934011164274322,0.0659888357256778
29183980000,29183980000,1,1,0,1,0
29186960100,29186960100,6342,6216,126,0.980132450331126,0.0198675496688742
29186960200,29186960200,4989,4786,203,0.959310483062738,0.040689516937262
29186960300,29186960300,4064,4028,36,0.991141732283465,0.00885826771653542
29187950101,29187950101,4435,4346,89,0.979932356257046,0.0200676437429538
29187950102,29187950102,4765,4660,105,0.977964323189927,0.0220356768100735
29189210400,29189210400,4363,372,3991,0.0852624341049736,0.914737565895026
29189210501,29189210501,3667,151,3516,0.04117807472048,0.95882192527952
29189210600,29189210600,6740,2086,4654,0.309495548961424,0.690504451038576
29189210702,29189210702,6111,1154,4957,0.18883979708722,0.81116020291278
29189210803,29189210803,4881,1986,2895,0.406883835279656,0.593116164720344
29189210804,29189210804,9297,1355,7942,0.145745939550393,0.854254060449607
29189210805,29189210805,6364,961,5403,0.15100565681961,0.84899434318039
29189210912,29189210912,7022,3341,3681,0.475790373113073,0.524209626886927
29189210923,29189210923,5300,3495,1805,0.659433962264151,0.340566037735849
29189210927,29189210927,4665,2196,2469,0.470739549839228,0.529260450160772
29189210928,29189210928,4333,1688,2645,0.389568428340642,0.610431571659358
29189211000,29189211000,7414,4199,3215,0.5663609387645,0.4336390612355
29189211102,29189211102,5006,2128,2878,0.425089892129445,0.574910107870555
29189211201,29189211201,5109,2926,2183,0.572714816989626,0.427285183010374
29189211202,29189211202,3421,3072,349,0.897983045893014,0.102016954106986
29189211301,29189211301,6114,5295,819,0.866045142296369,0.133954857703631
29189211332,29189211332,6483,5122,1361,0.7900663273176,0.2099336726824
29189211402,29189211402,2211,1089,1122,0.492537313432836,0.507462686567164
29189211500,29189211500,3494,208,3286,0.0595306239267315,0.940469376073268
29189211600,29189211600,6200,2564,3636,0.413548387096774,0.586451612903226
29189211700,29189211700,3985,1668,2317,0.418569636135508,0.581430363864492
29189211801,29189211801,3965,516,3449,0.130138713745271,0.869861286254729
29189212001,29189212001,7506,737,6769,0.0981881161737277,0.901811883826272
29189212002,29189212002,3850,157,3693,0.0407792207792208,0.959220779220779
29189212101,29189212101,4401,359,4042,0.0815723699159282,0.918427630084072
29189212102,29189212102,3101,197,2904,0.0635278942276685,0.936472105772332
29189212300,29189212300,5037,814,4223,0.161604129442128,0.838395870557872
29189212400,29189212400,2349,333,2016,0.14176245210728,0.85823754789272
29189212500,29189212500,5071,1278,3793,0.252021297574443,0.747978702425557
29189213101,29189213101,4606,3274,1332,0.710811984368215,0.289188015631785
29189213102,29189213102,411,353,58,0.858880778588808,0.141119221411192
29189213202,29189213202,6811,5276,1535,0.7746292761709,0.2253707238291
29189213203,29189213203,4759,4151,608,0.872242067661273,0.127757932338727
29189213204,29189213204,3869,2205,1664,0.569914706642543,0.430085293357457
29189213300,29189213300,7213,3916,3297,0.542908637182864,0.457091362817136
29189213400,29189213400,6669,3811,2858,0.571449992502624,0.428550007497376
29189213500,29189213500,4983,3429,1554,0.688139674894642,0.311860325105358
29189213600,29189213600,4446,629,3817,0.141475483580747,0.858524516419253
